SoundName,Database_Name,Sex_Voice,Emotion_Label,Begin,End,Duration,PeakTime,Amp(dB),PeakAmp,MinF0,MaxF0,MeanF0,StDevF0,Jitter,Shimmer,MaxHNR,MeanHNR,StDevHNR
M_Gewinn_F_c_WasepSP_Norm,WASEPSemPosGewinn,male,happy,0,0.9181,0.9181,0.343,60.6,75.7,96.3,275.6,205.1,47.53,0.000771417,0.738067167,34.06,9.54,2.82
M_Gewinn_T_b_WasepSP_Norm,WASEPSemPosGewinn,male,sad,0,0.5156,0.5156,0.241,66.5,74.6,75.2,92.6,83.0,7.13,0.008067478,2.077040296,35.34,5.82,3.23
M_Gewinn_W_WasepSP_Norm,WASEPSemPosGewinn,male,angry,0,0.6821,0.6821,0.348,59.2,76.7,95.7,203.5,147.4,30.86,0.004502962,1.400562583,32.93,3.03,2.45
M_Gewinn_s_WasepSP_Norm,WASEPSemPosGewinn,male,neutral,0,0.4204,0.4204,0.216,65.5,75.7,76.0,127.9,105.8,14.82,0.005203509,1.911580054,34.01,4.91,2.94
M_Musik_A_WasepSP_Norm,WASEPSemPosMusik,male,fear,0,0.7866,0.7866,0.38,65.1,77.0,189.4,250.6,219.3,16.14,0.001007853,0.990585801,21.41,8.35,6.52
M_Musik_E_c_WasepSP_Norm,WASEPSemPosMusik,male,disgust,0,1.6544,1.6544,0.252,63.9,75.2,75.3,134.6,96.0,15.96,0.002756476,0.812022819,23.5,11.5,6.32
M_Musik_F_WasepSP_Norm,WASEPSemPosMusik,male,happy,0,1.3,1.3,0.167,64.2,76.4,75.6,184.4,141.8,30.7,0.002468875,0.80699132,38.96,9.27,3.84
M_Musik_T_c_WasepSP_Norm,WASEPSemPosMusik,male,sad,0,0.9114,0.9114,0.143,56.2,75.0,75.0,449.0,179.5,171.08,0.01371221,1.969083004,42.43,7.43,5.33
M_Musik_W_WasepSP_Norm,WASEPSemPosMusik,male,angry,0,1.0251,1.0251,0.546,59.7,75.3,96.8,173.4,132.1,28.37,0.00294586,1.137132764,28.92,4.22,2.97
M_Musik_s_WasepSP_Norm,WASEPSemPosMusik,male,neutral,0,0.6126,0.6126,0.092,60.7,75.5,82.8,136.3,118.3,12.4,0.00297232,1.076577038,34.13,6.84,5.31
M_Mutter_A_WasepSP_Norm,WASEPSemPosMutter,male,fear,0,0.4853,0.4853,0.058,65.1,75.6,78.8,589.1,166.0,105.65,0.003223029,1.059216218,32.56,8.66,5.11
M_Mutter_E_b_WasepSP_Norm,WASEPSemPosMutter,male,disgust,0,0.8678,0.8678,0.255,55.9,76.5,81.4,436.2,193.9,87.88,0.00127558,1.162096484,25.18,5.36,7.26
M_Mutter_F_b_WasepSP_Norm,WASEPSemPosMutter,male,happy,0,0.6449,0.6449,0.181,55.8,76.4,78.3,245.1,170.0,59.48,0.002158725,0.827502953,29.5,9.17,5.41
M_Mutter_T_b_WasepSP_Norm,WASEPSemPosMutter,male,sad,0,0.6905,0.6905,0.128,59.3,74.6,75.0,556.8,182.9,190.85,0.003818749,1.518828213,35.91,7.92,5.83
M_Mutter_W_c_WasepSP_Norm,WASEPSemPosMutter,male,angry,0,0.3788,0.3788,0.102,60.7,77.5,98.6,269.9,199.6,60.65,0.003947604,1.330215472,33.04,1.64,2.78
M_Mutter_s_WasepSP_Norm,WASEPSemPosMutter,male,neutral,0,0.4368,0.4368,0.137,66.5,76.0,122.6,575.5,289.5,194.07,0.001972546,1.6309644,36.27,4.41,3.56
M_Natur_A_WasepSP_Norm,WASEPSemPosNatur,male,fear,0,0.9765,0.9765,0.708,64.9,76.0,76.7,494.4,151.4,70.45,0.004429858,1.215959975,43.98,14.26,5.19
M_Natur_E_b_WasepSP_Norm,WASEPSemPosNatur,male,disgust,0,1.6863,1.6863,1.317,63.3,79.7,86.2,591.0,186.9,107.79,0.002771965,0.742154925,34.58,10.21,10.24
M_Natur_F_WasepSP_Norm,WASEPSemPosNatur,male,happy,0,0.8475,0.8475,0.131,62.6,75.1,75.1,121.9,101.5,14.65,0.005300603,1.464393648,23.32,5.8,4.23
M_Natur_T_b_WasepSP_Norm,WASEPSemPosNatur,male,sad,0,0.8446,0.8446,0.174,61.4,73.4,74.9,463.1,162.0,149.94,0.007683664,1.684447183,27.63,-3.3,1.9
M_Natur_W_WasepSP_Norm,WASEPSemPosNatur,male,angry,0,1.0071,1.0071,0.643,63.9,75.9,102.1,201.0,151.7,31.3,0.002258814,1.028231729,25.92,7.32,6.7
M_Natur_s_WasepSP_Norm,WASEPSemPosNatur,male,neutral,0,0.7183,0.7183,0.51,61.5,76.0,114.5,554.5,229.7,162.35,0.002614294,1.642806972,18.94,5.85,4.96
M_Sonne_A_d_WasepSP_Norm,WASEPSemPosSonne,male,fear,0,0.6617,0.6617,0.238,63.4,75.9,151.4,239.8,194.8,23.68,0.001183704,0.607049624,29.26,15.05,5.81
M_Sonne_E_b_WasepSP_Norm,WASEPSemPosSonne,male,disgust,0,1.2742,1.2742,0.5,63.4,78.8,84.3,544.7,251.6,168.29,0.001913664,1.309608412,40.88,1.05,4.85
M_Sonne_F_b_WasepSP_Norm,WASEPSemPosSonne,male,happy,0,0.772,0.772,0.224,67.0,81.6,74.9,224.6,164.1,46.58,0.002159534,1.466757732,35.49,6.13,4.29
